x[mm];y[mm];z[mm];u[m/s];v[m/s];w[m/s];lambda2;p[Pa]
2.585937500000000000e+00;3.609375000000000000e+01;8.100585937500000000e-01;-8.247375488281250000e-03;-1.052246093750000000e-01;-1.085662841796875000e-02;0.000000000000000000e+00;4.305839538574218750e-01
2.613281250000000000e+00;3.503125000000000000e+01;8.457031250000000000e-01;-8.560180664062500000e-03;-1.121215820312500000e-01;-1.182556152343750000e-02;0.000000000000000000e+00;3.521442413330078125e-01
2.640625000000000000e+00;3.396875000000000000e+01;8.808593750000000000e-01;-4.875183105468750000e-03;-1.166992187500000000e-01;-8.865356445312500000e-03;-4.034375000000000000e+01;2.653598785400390625e-01
2.666015625000000000e+00;3.287500000000000000e+01;9.165039062500000000e-01;2.070665359497070312e-04;-1.174926757812500000e-01;-4.650115966796875000e-03;-1.206250000000000000e+01;2.394914627075195312e-01
2.693359375000000000e+00;3.181250000000000000e+01;9.521484375000000000e-01;1.607894897460937500e-03;-1.170043945312500000e-01;-3.196716308593750000e-03;0.000000000000000000e+00;2.254247665405273438e-01
2.720703125000000000e+00;3.075000000000000000e+01;9.877929687500000000e-01;-3.744125366210937500e-03;-1.212158203125000000e-01;-7.041931152343750000e-03;0.000000000000000000e+00;1.110434532165527344e-01
2.746093750000000000e+00;2.968750000000000000e+01;1.023437500000000000e+00;-1.316070556640625000e-02;-1.343994140625000000e-01;-1.464843750000000000e-02;0.000000000000000000e+00;-2.146959304809570312e-01
2.773437500000000000e+00;2.862500000000000000e+01;1.058593750000000000e+00;-2.096557617187500000e-02;-1.541748046875000000e-01;-2.052307128906250000e-02;0.000000000000000000e+00;-9.441375732421875000e-01
2.800781250000000000e+00;2.754687500000000000e+01;1.094726562500000000e+00;-2.348327636718750000e-02;-1.735839843750000000e-01;-1.931762695312500000e-02;0.000000000000000000e+00;-2.153396606445312500e+00
2.826171875000000000e+00;2.648437500000000000e+01;1.129882812500000000e+00;-1.977539062500000000e-02;-1.872558593750000000e-01;-9.941101074218750000e-03;-1.587500000000000000e+02;-3.522872924804687500e+00
2.853515625000000000e+00;2.542187500000000000e+01;1.166015625000000000e+00;-1.011657714843750000e-02;-1.944580078125000000e-01;4.215240478515625000e-03;-3.097500000000000000e+02;-4.528045654296875000e+00
2.880859375000000000e+00;2.434375000000000000e+01;1.201171875000000000e+00;3.122329711914062500e-03;-1.972656250000000000e-01;1.831054687500000000e-02;-2.985000000000000000e+02;-4.806518554687500000e+00
2.906250000000000000e+00;2.328125000000000000e+01;1.236328125000000000e+00;1.490020751953125000e-02;-1.964111328125000000e-01;2.880859375000000000e-02;-1.727500000000000000e+02;-4.341125488281250000e+00
2.933593750000000000e+00;2.221875000000000000e+01;1.272460937500000000e+00;2.066040039062500000e-02;-1.912841796875000000e-01;3.381347656250000000e-02;0.000000000000000000e+00;-3.374099731445312500e+00
2.960937500000000000e+00;2.114062500000000000e+01;1.307617187500000000e+00;1.989746093750000000e-02;-1.813964843750000000e-01;3.338623046875000000e-02;0.000000000000000000e+00;-2.210617065429687500e+00
2.986328125000000000e+00;2.007812500000000000e+01;1.343750000000000000e+00;1.646423339843750000e-02;-1.682128906250000000e-01;2.987670898437500000e-02;0.000000000000000000e+00;-1.075744628906250000e+00
3.013671875000000000e+00;1.901562500000000000e+01;1.378906250000000000e+00;1.531982421875000000e-02;-1.545410156250000000e-01;2.622985839843750000e-02;0.000000000000000000e+00;-1.012682914733886719e-01
3.041015625000000000e+00;1.795312500000000000e+01;1.414062500000000000e+00;1.844787597656250000e-02;-1.405029296875000000e-01;2.359008789062500000e-02;0.000000000000000000e+00;7.486343383789062500e-01
3.066406250000000000e+00;1.687500000000000000e+01;1.450195312500000000e+00;2.244567871093750000e-02;-1.229248046875000000e-01;2.113342285156250000e-02;0.000000000000000000e+00;1.613616943359375000e+00
3.093750000000000000e+00;1.581250000000000000e+01;1.485351562500000000e+00;2.047729492187500000e-02;-9.973144531250000000e-02;1.863098144531250000e-02;0.000000000000000000e+00;2.395629882812500000e+00
3.121093750000000000e+00;1.474218750000000000e+01;1.521484375000000000e+00;9.178161621093750000e-03;-7.421875000000000000e-02;1.797485351562500000e-02;0.000000000000000000e+00;2.744674682617187500e+00
3.146484375000000000e+00;1.367968750000000000e+01;1.556640625000000000e+00;-6.057739257812500000e-03;-5.252075195312500000e-02;1.980590820312500000e-02;0.000000000000000000e+00;2.532958984375000000e+00
3.173828125000000000e+00;1.260937500000000000e+01;1.592773437500000000e+00;-1.533508300781250000e-02;-3.787231445312500000e-02;1.989746093750000000e-02;0.000000000000000000e+00;2.002716064453125000e+00
3.201171875000000000e+00;1.153906250000000000e+01;1.627929687500000000e+00;-1.388549804687500000e-02;-2.937316894531250000e-02;1.365661621093750000e-02;-1.438750000000000000e+02;1.477241516113281250e+00
3.226562500000000000e+00;1.047656250000000000e+01;1.663085937500000000e+00;-5.786895751953125000e-03;-2.458190917968750000e-02;3.763198852539062500e-03;-1.732500000000000000e+02;1.154899597167968750e+00
3.253906250000000000e+00;9.406250000000000000e+00;1.699218750000000000e+00;1.872062683105468750e-03;-2.204895019531250000e-02;-2.033233642578125000e-03;-8.287500000000000000e+01;1.031875610351562500e+00
3.281250000000000000e+00;8.343750000000000000e+00;1.734375000000000000e+00;5.794525146484375000e-03;-2.098083496093750000e-02;-3.647804260253906250e-04;-2.946875000000000000e+01;9.927749633789062500e-01
3.306640625000000000e+00;7.273437500000000000e+00;1.770507812500000000e+00;6.874084472656250000e-03;-1.977539062500000000e-02;5.077362060546875000e-03;-1.000781250000000000e+01;9.641647338867187500e-01
3.333984375000000000e+00;6.207031250000000000e+00;1.805664062500000000e+00;6.958007812500000000e-03;-1.664733886718750000e-02;9.193420410156250000e-03;0.000000000000000000e+00;9.298324584960937500e-01
3.361328125000000000e+00;5.136718750000000000e+00;1.840820312500000000e+00;6.687164306640625000e-03;-1.129150390625000000e-02;9.872436523437500000e-03;0.000000000000000000e+00;8.745193481445312500e-01
3.386718750000000000e+00;4.070312500000000000e+00;1.876953125000000000e+00;5.447387695312500000e-03;-5.310058593750000000e-03;7.656097412109375000e-03;0.000000000000000000e+00;7.839202880859375000e-01
3.414062500000000000e+00;3.003906250000000000e+00;1.912109375000000000e+00;3.053665161132812500e-03;-1.063346862792968750e-03;4.150390625000000000e-03;-3.541015625000000000e+00;6.785392761230468750e-01
3.441406250000000000e+00;1.936523437500000000e+00;1.948242187500000000e+00;8.773803710937500000e-04;4.291534423828125000e-06;1.180648803710937500e-03;-7.671875000000000000e+00;5.965232849121093750e-01
3.466796875000000000e+00;8.691406250000000000e-01;1.983398437500000000e+00;5.044937133789062500e-04;-1.672744750976562500e-03;1.394748687744140625e-04;0.000000000000000000e+00;5.435943603515625000e-01
3.494140625000000000e+00;-1.978759765625000000e-01;2.019531250000000000e+00;1.683235168457031250e-03;-4.333496093750000000e-03;1.185417175292968750e-03;0.000000000000000000e+00;5.002021789550781250e-01
3.521484375000000000e+00;-1.265625000000000000e+00;2.054687500000000000e+00;2.576828002929687500e-03;-6.519317626953125000e-03;3.063201904296875000e-03;0.000000000000000000e+00;4.591941833496093750e-01
3.546875000000000000e+00;-2.332031250000000000e+00;2.089843750000000000e+00;1.962661743164062500e-03;-7.759094238281250000e-03;4.081726074218750000e-03;0.000000000000000000e+00;4.224777221679687500e-01
3.574218750000000000e+00;-3.400390625000000000e+00;2.125000000000000000e+00;4.200935363769531250e-04;-8.056640625000000000e-03;3.536224365234375000e-03;0.000000000000000000e+00;3.900527954101562500e-01
3.601562500000000000e+00;-4.468750000000000000e+00;2.162109375000000000e+00;-5.936622619628906250e-04;-7.556915283203125000e-03;2.111434936523437500e-03;0.000000000000000000e+00;3.600120544433593750e-01
3.626953125000000000e+00;-5.535156250000000000e+00;2.197265625000000000e+00;-3.972053527832031250e-04;-6.664276123046875000e-03;8.764266967773437500e-04;0.000000000000000000e+00;3.325939178466796875e-01
3.654296875000000000e+00;-6.601562500000000000e+00;2.232421875000000000e+00;4.124641418457031250e-04;-5.855560302734375000e-03;2.400875091552734375e-04;-1.676025390625000000e-01;3.094673156738281250e-01
3.681640625000000000e+00;-7.667968750000000000e+00;2.267578125000000000e+00;9.527206420898437500e-04;-5.413055419921875000e-03;-7.432699203491210938e-05;-2.008056640625000000e-01;2.903938293457031250e-01
3.707031250000000000e+00;-8.734375000000000000e+00;2.302734375000000000e+00;1.004219055175781250e-03;-5.207061767578125000e-03;-3.759860992431640625e-04;0.000000000000000000e+00;2.739429473876953125e-01
3.734375000000000000e+00;-9.804687500000000000e+00;2.339843750000000000e+00;8.125305175781250000e-04;-4.829406738281250000e-03;-5.769729614257812500e-04;0.000000000000000000e+00;2.593994140625000000e-01
3.761718750000000000e+00;-1.086718750000000000e+01;2.375000000000000000e+00;5.073547363281250000e-04;-3.921508789062500000e-03;-4.291534423828125000e-04;0.000000000000000000e+00;2.462863922119140625e-01
3.789062500000000000e+00;-1.193750000000000000e+01;2.410156250000000000e+00;1.688003540039062500e-04;-2.584457397460937500e-03;-2.729892730712890625e-05;0.000000000000000000e+00;2.335309982299804688e-01
3.814453125000000000e+00;-1.300781250000000000e+01;2.445312500000000000e+00;8.219480514526367188e-05;-1.410484313964843750e-03;2.405643463134765625e-04;0.000000000000000000e+00;2.210140228271484375e-01
3.841796875000000000e+00;-1.407031250000000000e+01;2.480468750000000000e+00;4.410743713378906250e-04;-9.841918945312500000e-04;2.371072769165039062e-04;-6.743164062500000000e-01;2.099275588989257812e-01
3.869140625000000000e+00;-1.514062500000000000e+01;2.517578125000000000e+00;9.675025939941406250e-04;-1.335144042968750000e-03;2.223253250122070312e-04;-2.783203125000000000e-01;2.013444900512695312e-01
3.894531250000000000e+00;-1.620312500000000000e+01;2.552734375000000000e+00;1.190185546875000000e-03;-2.006530761718750000e-03;4.105567932128906250e-04;0.000000000000000000e+00;1.945495605468750000e-01
3.921875000000000000e+00;-1.728125000000000000e+01;2.587890625000000000e+00;9.617805480957031250e-04;-2.531051635742187500e-03;6.432533264160156250e-04;0.000000000000000000e+00;1.881122589111328125e-01
3.949218750000000000e+00;-1.834375000000000000e+01;2.623046875000000000e+00;4.587173461914062500e-04;-2.670288085937500000e-03;6.189346313476562500e-04;0.000000000000000000e+00;1.820325851440429688e-01
3.974609375000000000e+00;-1.940625000000000000e+01;2.660156250000000000e+00;-6.234645843505859375e-05;-2.386093139648437500e-03;2.710819244384765625e-04;0.000000000000000000e+00;1.764297485351562500e-01
4.000000000000000000e+00;-2.046875000000000000e+01;2.695312500000000000e+00;-3.702640533447265625e-04;-1.806259155273437500e-03;-2.238750457763671875e-04;0.000000000000000000e+00;1.715421676635742188e-01
4.027343750000000000e+00;-2.154687500000000000e+01;2.730468750000000000e+00;-3.702640533447265625e-04;-1.204490661621093750e-03;-6.141662597656250000e-04;0.000000000000000000e+00;1.668930053710937500e-01
4.054687500000000000e+00;-2.260937500000000000e+01;2.765625000000000000e+00;-1.795291900634765625e-04;-8.187294006347656250e-04;-6.589889526367187500e-04;0.000000000000000000e+00;1.622438430786132812e-01
4.082031250000000000e+00;-2.367187500000000000e+01;2.800781250000000000e+00;-9.894371032714843750e-06;-7.185935974121093750e-04;-3.046989440917968750e-04;-9.466552734375000000e-02;1.581907272338867188e-01
4.109375000000000000e+00;-2.475000000000000000e+01;2.837890625000000000e+00;-9.834766387939453125e-06;-8.530616760253906250e-04;1.599788665771484375e-04;-2.792358398437500000e-02;1.544952392578125000e-01
4.136718750000000000e+00;-2.581250000000000000e+01;2.873046875000000000e+00;-1.322031021118164062e-04;-1.132011413574218750e-03;3.728866577148437500e-04;0.000000000000000000e+00;1.513957977294921875e-01
4.160156250000000000e+00;-2.687500000000000000e+01;2.908203125000000000e+00;-1.364946365356445312e-04;-1.436233520507812500e-03;3.013610839843750000e-04;0.000000000000000000e+00;1.481771469116210938e-01
4.187500000000000000e+00;-2.795312500000000000e+01;2.943359375000000000e+00;1.229047775268554688e-04;-1.603126525878906250e-03;1.749992370605468750e-04;-1.357421875000000000e-01;1.451969146728515625e-01
4.214843750000000000e+00;-2.901562500000000000e+01;2.978515625000000000e+00;4.498958587646484375e-04;-1.493453979492187500e-03;1.271963119506835938e-04;-4.605102539062500000e-02;1.426935195922851562e-01
4.242187500000000000e+00;-3.007812500000000000e+01;3.015625000000000000e+00;4.847049713134765625e-04;-1.102447509765625000e-03;6.902217864990234375e-05;0.000000000000000000e+00;1.404285430908203125e-01
4.269531250000000000e+00;-3.114062500000000000e+01;3.050781250000000000e+00;1.019835472106933594e-04;-5.779266357421875000e-04;-1.186132431030273438e-04;0.000000000000000000e+00;1.382827758789062500e-01
4.296875000000000000e+00;-3.221875000000000000e+01;3.085937500000000000e+00;-4.770755767822265625e-04;-9.894371032714843750e-05;-3.812313079833984375e-04;0.000000000000000000e+00;1.361370086669921875e-01
4.320312500000000000e+00;-3.328125000000000000e+01;3.121093750000000000e+00;-9.794235229492187500e-04;2.193450927734375000e-04;-5.478858947753906250e-04;0.000000000000000000e+00;1.342296600341796875e-01
4.347656250000000000e+00;-3.434375000000000000e+01;3.156250000000000000e+00;-1.340866088867187500e-03;3.087520599365234375e-04;-5.249977111816406250e-04;0.000000000000000000e+00;1.324415206909179688e-01
4.375000000000000000e+00;-3.540625000000000000e+01;3.193359375000000000e+00;-1.543045043945312500e-03;1.046657562255859375e-04;-3.693103790283203125e-04;0.000000000000000000e+00;1.306533813476562500e-01
4.402343750000000000e+00;-3.650000000000000000e+01;3.228515625000000000e+00;-1.384735107421875000e-03;-3.571510314941406250e-04;-1.794099807739257812e-04;0.000000000000000000e+00;1.287460327148437500e-01
4.429687500000000000e+00;-3.756250000000000000e+01;3.263671875000000000e+00;-7.381439208984375000e-04;-8.320808410644531250e-04;-1.609325408935546875e-05;0.000000000000000000e+00;1.267194747924804688e-01
4.457031250000000000e+00;-3.862500000000000000e+01;3.298828125000000000e+00;8.910894393920898438e-05;-1.007080078125000000e-03;7.295608520507812500e-05;0.000000000000000000e+00;1.251697540283203125e-01
4.480468750000000000e+00;-3.968750000000000000e+01;3.335937500000000000e+00;6.136894226074218750e-04;-7.963180541992187500e-04;6.163120269775390625e-05;0.000000000000000000e+00;1.238584518432617188e-01
4.507812500000000000e+00;-4.075000000000000000e+01;3.371093750000000000e+00;7.305145263671875000e-04;-4.131793975830078125e-04;-1.728534698486328125e-05;0.000000000000000000e+00;1.224279403686523438e-01
4.535156250000000000e+00;-4.181250000000000000e+01;3.406250000000000000e+00;6.237030029296875000e-04;-1.369714736938476562e-04;-1.505613327026367188e-04;-1.437988281250000000e-01;1.205801963806152344e-01
4.562500000000000000e+00;-4.287500000000000000e+01;3.441406250000000000e+00;1.877546310424804688e-04;-6.604194641113281250e-05;-4.804134368896484375e-04;-6.142578125000000000e-01;1.184344291687011719e-01
4.589843750000000000e+00;-4.396875000000000000e+01;3.476562500000000000e+00;-9.160041809082031250e-04;-6.794929504394531250e-05;-1.175880432128906250e-03;-1.256835937500000000e+00;1.164078712463378906e-01
4.617187500000000000e+00;-4.503125000000000000e+01;3.513671875000000000e+00;-2.494812011718750000e-03;5.936622619628906250e-05;-2.065658569335937500e-03;-1.032226562500000000e+00;1.150965690612792969e-01
4.640625000000000000e+00;-4.609375000000000000e+01;3.548828125000000000e+00;-3.543853759765625000e-03;3.449916839599609375e-04;-2.553939819335937500e-03;-1.270751953125000000e-01;1.142621040344238281e-01
4.667968750000000000e+00;-4.715625000000000000e+01;3.583984375000000000e+00;-3.168106079101562500e-03;5.764961242675781250e-04;-2.172470092773437500e-03;-2.307128906250000000e-02;1.130104064941406250e-01
4.695312500000000000e+00;-4.821875000000000000e+01;3.619140625000000000e+00;-1.640319824218750000e-03;5.350112915039062500e-04;-1.196861267089843750e-03;-4.836425781250000000e-01;1.115798950195312500e-01
4.722656250000000000e+00;-4.928125000000000000e+01;3.654296875000000000e+00;-8.559226989746093750e-05;2.520084381103515625e-04;-3.793239593505859375e-04;-3.779296875000000000e-01;1.108646392822265625e-01
4.750000000000000000e+00;-5.034375000000000000e+01;3.691406250000000000e+00;6.480216979980468750e-04;-6.073713302612304688e-05;-1.633167266845703125e-04;-3.604125976562500000e-02;1.104474067687988281e-01
4.777343750000000000e+00;-5.143750000000000000e+01;3.726562500000000000e+00;5.583763122558593750e-04;-2.605915069580078125e-04;-3.874301910400390625e-04;-1.966476440429687500e-03;1.097917556762695312e-01
4.800781250000000000e+00;-5.250000000000000000e+01;3.761718750000000000e+00;1.465082168579101562e-04;-3.645420074462890625e-04;-6.489753723144531250e-04;-1.446533203125000000e-02;1.087784767150878906e-01
4.828125000000000000e+00;-5.356250000000000000e+01;3.796875000000000000e+00;-1.521110534667968750e-04;-4.479885101318359375e-04;-7.252693176269531250e-04;0.000000000000000000e+00;1.076459884643554688e-01
4.855468750000000000e+00;-5.462500000000000000e+01;3.832031250000000000e+00;-2.030134201049804688e-04;-5.455017089843750000e-04;-6.322860717773437500e-04;0.000000000000000000e+00;1.064538955688476562e-01
4.882812500000000000e+00;-5.568750000000000000e+01;3.869140625000000000e+00;-9.661912918090820312e-05;-6.427764892578125000e-04;-4.754066467285156250e-04;0.000000000000000000e+00;1.051425933837890625e-01
4.910156250000000000e+00;-5.675000000000000000e+01;3.904296875000000000e+00;3.361701965332031250e-05;-7.181167602539062500e-04;-3.333091735839843750e-04;0.000000000000000000e+00;1.038312911987304688e-01
4.937500000000000000e+00;-5.784375000000000000e+01;3.939453125000000000e+00;1.184940338134765625e-04;-7.648468017578125000e-04;-2.322196960449218750e-04;0.000000000000000000e+00;1.024007797241210938e-01
4.960937500000000000e+00;-5.890625000000000000e+01;3.974609375000000000e+00;1.506805419921875000e-04;-7.896423339843750000e-04;-1.703500747680664062e-04;0.000000000000000000e+00;1.010298728942871094e-01
4.988281250000000000e+00;-5.996875000000000000e+01;4.011718750000000000e+00;1.486539840698242188e-04;-8.025169372558593750e-04;-1.376867294311523438e-04;-7.724761962890625000e-05;9.959936141967773438e-02
